iterations,fitness,time
0,2992.84973662,0.009654
10,3067.30951083,0.012806
20,3667.11768668,0.014881
30,3378.53933935,0.01692
40,3534.48423633,0.018773
50,3750.77670145,0.023491
60,3739.76972322,0.025773
70,3720.34249081,0.027628
80,3829.81599761,0.029469
90,3753.12134301,0.031285
100,3888.05971523,0.035332
110,3779.16578705,0.037287
120,3993.69886605,0.042028
130,3929.12163786,0.043875
140,3981.98630514,0.046352
150,3836.39448568,0.049009
160,3926.71946775,0.052105
170,3934.15213253,0.058654
180,3919.32716694,0.061197
190,3841.39821093,0.063907
200,3854.84497633,0.06557
210,3790.02936307,0.067455
220,3868.12884365,0.069057
230,3786.01074606,0.070578
240,3817.12337274,0.071935
250,3796.26473007,0.073501
260,3838.81707732,0.074895
270,3902.53118833,0.07634
280,3938.81304705,0.078857
290,3844.95568526,0.080365
300,3984.63765553,0.081965
310,3804.05879044,0.084527
320,3911.72820128,0.085896
330,3973.51882245,0.087589
340,3783.26506071,0.08898
350,3957.67572833,0.101237
360,3942.092272,0.102718
370,3838.24533022,0.105963
380,3923.89494739,0.108656
390,3724.62771768,0.110024
400,3689.47265777,0.111507
410,3867.06055721,0.112884
420,3958.8508483,0.114725
430,3913.33594383,0.116455
440,3958.68282322,0.118748
450,3910.21575356,0.120691
460,3908.70512142,0.122096
470,3841.17717017,0.123563
480,3885.90597508,0.125565
490,3919.32755059,0.128977
500,3894.92775479,0.130384
510,3977.04815617,0.131754
520,3937.38066253,0.133113
530,3885.10187891,0.134933
540,3985.69959872,0.136306
550,3943.74079287,0.137702
560,3816.31292988,0.139158
570,3874.60714968,0.140589
580,3692.48144621,0.14493
590,3704.44517218,0.146342
600,3748.15911231,0.148583
610,3685.21577582,0.150115
620,3853.89242869,0.151694
630,3867.02891948,0.153155
640,3824.68673475,0.154676
650,3793.27753891,0.156027
660,3969.70383589,0.157759
670,3854.93496111,0.160258
680,3838.26502726,0.163225
690,3839.28017661,0.165789
700,3816.36688217,0.167711
710,3689.18461369,0.169163
720,3843.99689367,0.170708
730,3808.42665801,0.172146
740,3810.24696386,0.173644
750,3752.68979586,0.179536
760,3837.92859737,0.181005
770,3887.12568276,0.18572
780,3849.65127023,0.188267
790,4023.21083789,0.190489
800,3974.63588667,0.195778
810,4048.40083275,0.197301
820,3992.00902119,0.198714
830,4047.41601576,0.200101
840,4034.4047641,0.201707
850,3928.04455342,0.203196
860,3972.14417135,0.205738
870,3909.36187971,0.208163
880,3918.90226747,0.209669
890,3874.25583596,0.212161
900,3719.85035455,0.214556
910,3729.18789983,0.221597
920,3753.62318116,0.227184
930,3737.58326247,0.229693
940,3865.41327849,0.23161
950,3763.01308646,0.233876
960,3865.76389918,0.237177
970,3963.26134518,0.238677
980,3875.38020361,0.240117
990,3951.2572949,0.241455
1000,4003.03919916,0.242812
1010,4054.40485727,0.244269
1020,3980.0338209,0.245801
1030,3965.83292262,0.247171
1040,4013.46541784,0.249259
1050,3908.39722872,0.251344
1060,4065.24521363,0.252788
1070,3998.80298076,0.254346
1080,4078.90324098,0.255807
1090,4008.06319797,0.259031
1100,3958.80896367,0.260829
1110,4126.07916799,0.26302
1120,3863.28490853,0.265135
1130,3871.68546909,0.268005
1140,3912.83841437,0.270061
1150,3964.48290515,0.272617
1160,3908.04448514,0.274774
1170,3941.49129443,0.276488
1180,3845.36767797,0.277858
1190,3999.95041917,0.281256
1200,3972.16536723,0.282627
1210,3926.13637725,0.284002
1220,3840.77596045,0.285977
1230,3988.71822229,0.287654
1240,3856.01620011,0.290946
1250,3889.03933031,0.294058
1260,3888.98860404,0.296138
1270,3859.31624072,0.297662
1280,3963.88626682,0.301826
1290,3857.84690626,0.303239
1300,3953.96136315,0.304637
1310,3894.70409432,0.30603
1320,3997.19595097,0.307394
1330,4093.24783009,0.308734
1340,3996.06504553,0.310168
1350,3938.94010297,0.311549
1360,3955.49936158,0.314058
1370,4117.27679399,0.315529
1380,4067.71740835,0.316939
1390,4020.47745886,0.318378
1400,3963.52638116,0.322158
1410,4010.36889617,0.32372
1420,4127.99661734,0.325123
1430,4037.50985195,0.326612
1440,4066.44229359,0.328097
1450,3961.97052904,0.330178
1460,4032.28919943,0.331497
1470,4039.34584462,0.332938
1480,4037.29238725,0.335399
1490,4046.8867708,0.424527
1500,4008.96966795,0.426283
1510,4009.83867012,0.427702
1520,3890.25635362,0.429123
1530,4004.37429019,0.430503
1540,3891.34247061,0.431914
1550,4048.73653774,0.435954
1560,3924.73014771,0.437335
1570,4037.15906371,0.438839
1580,4115.8298289,0.440392
1590,4076.91073986,0.441799
1600,3866.78008104,0.443321
1610,3941.13612777,0.444738
1620,3777.13806734,0.452334
1630,3976.83840723,0.453763
1640,3967.41625439,0.459111
1650,4038.38807233,0.460592
1660,4004.15272903,0.46208
1670,3987.23667155,0.46378
1680,3918.51755474,0.465585
1690,4125.93248529,0.467263
1700,4016.14672255,0.468686
1710,3966.18237219,0.470145
1720,3990.41873238,0.471993
1730,3927.83257183,0.475179
1740,3821.17970807,0.476758
1750,3896.04745664,0.478278
1760,3929.32324687,0.480541
1770,3890.49975903,0.482019
1780,3831.26968715,0.48367
1790,3866.61349446,0.485247
1800,3959.49733293,0.48882
1810,3963.99316414,0.490348
1820,3829.70703649,0.492921
1830,3789.76469486,0.495466
1840,3919.54459047,0.507331
1850,3852.88389783,0.508929
1860,3932.62741945,0.586035
1870,3900.21052222,0.586882
1880,3893.51132175,0.587742
1890,4065.87940619,0.588632
1900,4009.71193019,0.589488
1910,3891.80109855,0.591296
1920,4031.00269553,0.592205
1930,4011.4024149,0.593102
1940,4074.10672532,0.59403
1950,4044.48479096,0.594944
1960,4011.39668106,0.595856
1970,4024.80256524,0.596743
1980,4070.75844101,0.597785
1990,4113.30591262,0.598714
2000,4000.03488757,0.599973
2010,4069.53872036,0.601524
2020,3896.21047034,0.606559
2030,3956.16252327,0.607485
2040,3960.77846462,0.608409
2050,3826.30555974,0.609296
2060,3906.54398129,0.610175
2070,3992.5887905,0.611041
2080,3935.45410943,0.611929
2090,3886.34134087,0.613558
2100,3927.64608219,0.615404
2110,4023.46242887,0.618981
2120,4076.57092736,0.620646
2130,3978.64838312,0.621547
2140,4087.66409137,0.622867
2150,3903.37411582,0.623942
2160,3987.09688497,0.625304
2170,4210.02777527,0.626293
2180,3954.50381375,0.627711
2190,3933.12388962,0.628608
2200,3995.63179324,0.629492
2210,3999.40432434,0.630375
2220,4035.88319157,0.631242
2230,4001.46203737,0.632234
2240,4051.70504829,0.633142
2250,4043.98235134,0.634014
2260,3968.60080519,0.634868
2270,3900.26410195,0.635725
2280,3922.00771844,0.637085
2290,3929.17069304,0.637972
2300,3862.38546467,0.639069
2310,3810.4048202,0.645158
2320,3963.26111203,0.65235
2330,3802.53570209,0.65356
2340,3887.7526252,0.654432
2350,3846.13548113,0.655611
2360,3913.44091891,0.656559
2370,3893.97936678,0.658984
2380,3902.31861529,0.659886
2390,3831.733074,0.660737
2400,3983.38306963,0.661658
2410,3985.47900129,0.662571
2420,4013.78056884,0.668923
2430,3961.04453685,0.670137
2440,3975.33182885,0.671314
2450,4003.45450351,0.672463
2460,4013.48502967,0.673652
2470,3932.82192721,0.683567
2480,4026.38651943,0.684675
2490,3969.02175553,0.68555
2500,3936.48014549,0.686503
2510,3916.93837712,0.687377
2520,3895.2582003,0.688544
2530,4062.39499519,0.689675
2540,3869.63765672,0.691223
2550,3871.38275458,0.692117
2560,4002.06955889,0.692972
2570,3864.72373011,0.693843
2580,3759.47072669,0.694698
2590,3789.45086384,0.695637
2600,3825.07127104,0.697034
2610,3832.03188172,0.703337
2620,3827.16197321,0.706018
2630,3737.68701212,0.706994
2640,3636.3474352,0.708222
2650,3749.70704136,0.70956
2660,3806.30744719,0.71047
2670,3815.80417741,0.71183
2680,3641.82503978,0.713036
2690,3802.41976027,0.714259
2700,3846.47034546,0.715246
2710,3834.01817582,0.717465
2720,3819.9112069,0.718686
2730,3818.76467922,0.719934
2740,3805.18990291,0.720824
2750,3739.27974289,0.721732
2760,3778.02385656,0.72296
2770,3750.11874074,0.726286
2780,3802.39866058,0.7284
2790,3801.23452335,0.729427
2800,3704.13315348,0.730607
2810,3837.8857773,0.731845
2820,3710.54177484,0.732803
2830,3829.42246625,0.733938
2840,3837.7153648,0.734966
2850,3795.57860103,0.735877
2860,3848.57491771,0.738196
2870,3865.10103362,0.739444
2880,3840.49904058,0.740853
2890,3784.35089866,0.742009
2900,3932.72994326,0.743481
2910,3898.07495038,0.746033
2920,3789.77189558,0.747008
2930,3822.24141319,0.74818
2940,3944.64237232,0.749475
2950,3792.05149901,0.751062
2960,3852.23647293,0.758077
2970,3846.41091607,0.758964
2980,3900.04257842,0.759905
2990,3894.00912634,0.761147
3000,3866.16962404,0.762091
3010,3784.74527498,0.763074
3020,3792.12547857,0.763971
3030,3782.98708549,0.765178
3040,3889.98605116,0.766056
3050,3766.18516289,0.766988
3060,3700.91542246,0.76787
3070,3769.01492239,0.768789
3080,3729.44301816,0.769682
3090,3677.73499049,0.77067
3100,3753.32950043,0.771701
3110,3604.05401943,0.775471
3120,3631.58615161,0.776417
3130,3695.45257,0.777419
3140,3743.3626323,0.779779
3150,3685.44756468,0.78067
3160,3880.0914918,0.781571
3170,3833.80062274,0.78324
3180,3922.31691034,0.784282
3190,4051.42684057,0.785266
3200,3936.25222247,0.786657
3210,4057.07972097,0.788096
3220,3969.76445862,0.789093
3230,3868.47623464,0.789952
3240,3759.26200954,0.790993
3250,3784.3675402,0.792317
3260,3873.62921493,0.793376
3270,3944.46628406,0.795145
3280,3909.42069768,0.796582
3290,3878.32580158,0.797547
3300,3900.86630808,0.798501
3310,3928.74720094,0.800874
3320,3981.2646731,0.801759
3330,3984.0571829,0.802905
3340,4060.78793503,0.803863
3350,4033.74089609,0.80475
3360,4036.59495057,0.8057
3370,4233.86526772,0.806561
3380,4076.20514845,0.80749
3390,4292.62099312,0.811364
3400,4103.74751463,0.812221
3410,4067.46703953,0.813155
3420,4124.88535587,0.814045
3430,4071.97812581,0.815009
3440,4132.5666346,0.815908
3450,4095.85164542,0.818222
3460,3876.51513985,0.819417
3470,3858.63176221,0.820972
3480,3837.35058252,0.82192
3490,3934.87137774,0.82323
3500,3986.69315792,0.824206
3510,3795.94942234,0.825225
3520,3904.42444719,0.826083
3530,3968.63133338,0.82751
3540,3801.54431556,0.82861
3550,3946.40250034,0.829627
3560,3825.88974462,0.830883
3570,3930.77406902,0.831897
3580,3903.11939075,0.833196
3590,3939.46651389,0.83479
3600,3978.49929063,0.836917
3610,4003.90493691,0.838067
3620,4014.50528572,0.839064
3630,4116.84365499,0.839895
3640,4025.55543325,0.840974
3650,3957.71898807,0.845471
3660,4014.86504199,0.846641
3670,4031.74626851,0.847859
3680,3954.86518648,0.849017
3690,4044.01164404,0.850173
3700,4005.71091871,0.851414
3710,3922.34769378,0.852632
3720,4002.11027707,0.854107
3730,3934.9695957,0.855025
3740,3995.14049244,0.856021
3750,3964.44498962,0.856948
3760,3952.15601823,0.859288
3770,3921.71653399,0.860312
3780,3962.20197187,0.86122
3790,3857.45541841,0.862189
3800,3794.45804156,0.863261
3810,3807.52729184,0.864199
3820,3824.30536491,0.865074
3830,3825.64385024,0.866262
3840,3826.53310764,0.867409
3850,3976.12912669,0.868578
3860,3835.77991112,0.869719
3870,3838.58751932,0.871248
3880,3942.9381796,0.872217
3890,3885.64424505,0.873287
3900,3845.22212246,0.874143
3910,3894.10687527,0.875139
3920,3952.86114349,0.876028
3930,3900.50532167,0.877433
3940,3928.29156059,0.878814
3950,3942.86688153,0.879843
3960,3967.95292222,0.880814
3970,3982.74599444,0.881664
3980,3904.40989041,0.882624
3990,3871.17862238,0.883564
4000,3957.72106979,0.889315
4010,3857.81765662,0.890062
4020,3930.54217377,0.891484
4030,3968.66156855,0.892687
4040,3955.64412818,0.894129
4050,3965.43713457,0.895325
4060,3962.57426839,0.896778
4070,3991.27603189,0.898076
4080,4006.5165282,0.899359
4090,4013.7896657,0.900383
4100,4042.97855217,0.902484
4110,4036.99051399,0.90366
4120,3979.67671659,0.904878
4130,4003.60609592,0.906201
4140,3980.52772143,0.907188
4150,3878.5479386,0.908432
4160,3788.57369042,0.931641
4170,3862.17741961,0.932546
4180,3946.90840861,0.933764
4190,3898.09246807,0.934924
4200,3937.51391898,0.936087
4210,3914.68169449,0.937245
4220,3939.21662699,0.939108
4230,3793.14347742,0.940737
4240,3859.12716795,0.941897
4250,3792.68635383,0.943067
4260,3836.0145811,0.944127
4270,3857.39759503,0.94514
4280,3977.50148556,0.953692
4290,3948.08672013,0.954703
4300,3893.40418482,0.958502
4310,3924.76874345,0.95947
4320,3808.49084973,0.960642
4330,3831.22526479,0.961502
4340,3855.04089254,0.963072
4350,3897.75038533,0.963848
4360,3858.89946038,0.964472
4370,3982.65309829,0.965451
4380,4068.8677344,0.966083
4390,3829.1146198,0.966789
4400,3809.54696491,0.967473
4410,3890.49556486,0.968059
4420,3797.79442717,0.968628
4430,3792.21129695,0.969206
4440,3823.49902004,0.972677
4450,3756.16259695,0.973471
4460,3775.68308997,0.97413
4470,3770.00577031,0.974791
4480,3889.10759862,0.975442
4490,3880.79169575,0.976081
4500,3770.39571608,0.9767
4510,3903.37346296,0.977359
4520,3804.90375292,0.977967
4530,3816.76101122,0.98026
4540,3825.12586724,0.981696
4550,3890.56107332,0.982575
4560,3867.32531137,0.983222
4570,3874.86628868,0.983866
4580,3894.66062047,0.98452
4590,3862.48516437,0.985149
4600,3928.2946342,0.985718
4610,3976.60298752,0.990429
4620,3852.88900354,0.991327
4630,3928.83516956,0.992007
4640,3950.55642551,0.992672
4650,3847.4962571,0.993245
4660,3861.13223296,0.99391
4670,3990.00468028,0.994489
4680,3748.2081782,0.995055
4690,3766.44486651,0.995847
4700,3796.36389103,0.996477
4710,3797.33524247,0.997104
4720,3912.0504614,0.997705
4730,3859.21298458,0.998321
4740,3844.10654155,0.998936
4750,3838.86321523,0.999552
4760,3873.3114568,1.000115
4770,3854.85659378,1.000695
4780,3746.87581282,1.002164
4790,3847.09427246,1.003039
4800,3724.54383843,1.003882
4810,3988.60772522,1.004703
4820,4055.64016594,1.005512
4830,3948.89815723,1.006334
4840,4102.83190335,1.008653
4850,4039.95588993,1.009363
4860,4109.02720205,1.009918
4870,4145.01201404,1.010485
4880,3954.48562521,1.01106
4890,4058.63173493,1.011608
4900,4009.60018101,1.012146
4910,4104.80971482,1.012689
4920,4063.46655837,1.013457
4930,4019.27954513,1.016418
4940,4096.02341945,1.017355
4950,4015.09021101,1.01826
4960,4127.89605626,1.018963
4970,4044.88390435,1.019538
4980,4040.77514506,1.020142
4990,3994.19042889,1.02072
