iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,f1_trg,f1_tst,train_time,pred_time
0,0.110820691714,0.110815570449,0.887432749345,0.888435224012,0.0,0.0,0.157033,0.0971279998857
10,0.103664171705,0.103587764017,0.887432749345,0.888435224012,0.0,0.0,1.864877,0.0958280000186
20,0.0849224118975,0.0847993147263,0.887432749345,0.888435224012,0.0,0.0,3.526902,0.0966510000535
30,0.0909005499351,0.0908038183208,0.887432749345,0.888435224012,0.0,0.0,5.189095,0.102249999909
40,0.0817152378608,0.081591585975,0.887432749345,0.888435224012,0.0,0.0,6.873083,0.108538000003
50,0.0867542600024,0.0866256376283,0.887432749345,0.888435224012,0.0,0.0,8.475679,0.102763999955
60,0.0865767487247,0.0864856728987,0.887432749345,0.888435224012,0.0,0.0,10.070008,0.0968029999794
70,0.0865808324164,0.0864895382334,0.887432749345,0.888435224012,0.0,0.0,11.712939,0.0990079999201
80,0.0849224160194,0.0847993275164,0.887432749345,0.888435224012,0.0,0.0,13.351138,0.0995510000521
90,0.0817920878652,0.0816584061605,0.887432749345,0.888435224012,0.0,0.0,14.906148,0.0988569999117
100,0.0833165694716,0.0831878056276,0.887432749345,0.888435224012,0.0,0.0,16.480006,0.0982699999677
110,0.0834547348566,0.0833262075079,0.887432749345,0.888435224012,0.0,0.0,18.069413,0.0956819999637
120,0.0769559841083,0.0768034191532,0.887432749345,0.888435224012,0.0,0.0,19.719018,0.100768000073
130,0.0769553968059,0.0768029053825,0.887432749345,0.888435224012,0.0,0.0,21.320899,0.0999759998558
140,0.0673252975595,0.0671300534893,0.887432749345,0.888435224012,0.0,0.0,22.996591,0.0983290002277
150,0.0673189592202,0.0671226189497,0.887432749345,0.888435224012,0.0,0.0,24.595132,0.0952650000027
160,0.0673267011767,0.0671313840247,0.887432749345,0.888435224012,0.0,0.0,26.237815,0.102388999948
170,0.0675287482927,0.0673346131352,0.887432749345,0.888435224012,0.0,0.0,27.858126,0.0976449999453
180,0.0673277321256,0.0671326578043,0.887432749345,0.888435224012,0.0,0.0,29.524869,0.101474999978
190,0.067322207725,0.0671258692443,0.887432749345,0.888435224012,0.0,0.0,31.121941,0.0975250000001
200,0.0673765430695,0.0671814144454,0.887432749345,0.888435224012,0.0,0.0,32.710465,0.0988710000538
210,0.0673752310586,0.0671789837925,0.887432749345,0.888435224012,0.0,0.0,34.324594,0.101726999994
220,0.0673283039219,0.0671321154392,0.887432749345,0.888435224012,0.0,0.0,35.952405,0.0970499999157
230,0.0673272281871,0.0671322192135,0.887432749345,0.888435224012,0.0,0.0,37.560968,0.0971939999517
240,0.0673276376211,0.0671312663302,0.887432749345,0.888435224012,0.0,0.0,39.227664,0.102269000118
250,0.0673260441894,0.0671306492077,0.887432749345,0.888435224012,0.0,0.0,40.90291,0.102470999933
260,0.0673267833853,0.0671307163759,0.887432749345,0.888435224012,0.0,0.0,42.488334,0.0986949998614
270,0.0673286751361,0.06713419159,0.887432749345,0.888435224012,0.0,0.0,44.139818,0.0977930000272
280,0.0673303304947,0.0671340146704,0.887432749345,0.888435224012,0.0,0.0,45.768882,0.0974770000303
290,0.0673274717151,0.0671319437081,0.887432749345,0.888435224012,0.0,0.0,47.434868,0.103177000084
300,0.0673268074865,0.0671306953669,0.887432749345,0.888435224012,0.0,0.0,49.013604,0.100376000029
310,0.0673266018643,0.0671304294828,0.887432749345,0.888435224012,0.0,0.0,50.673201,0.101039999888
320,0.0673262909396,0.0671310107545,0.887432749345,0.888435224012,0.0,0.0,52.378852,0.0967629999059
330,0.0673269594616,0.0671317027338,0.887432749345,0.888435224012,0.0,0.0,53.95848,0.0999730001085
340,0.067328062607,0.0671326302181,0.887432749345,0.888435224012,0.0,0.0,55.558051,0.0986969999021
350,0.0673268074865,0.0671306953669,0.887432749345,0.888435224012,0.0,0.0,57.205555,0.0971499999687
360,0.0673269860858,0.067131824729,0.887432749345,0.888435224012,0.0,0.0,58.810089,0.0967409999739
370,0.0673416879022,0.0671454768559,0.887432749345,0.888435224012,0.0,0.0,60.405891,0.119086999945
380,0.0673268074865,0.0671306953669,0.887432749345,0.888435224012,0.0,0.0,62.087238,0.098089000051
390,0.0726881395662,0.072512417481,0.887432749345,0.888435224012,0.0,0.0,63.708057,0.0992070000757
400,0.0673269594616,0.0671317027338,0.887432749345,0.888435224012,0.0,0.0,65.361535,0.0999990000473
410,0.0673417259277,0.0671455149497,0.887432749345,0.888435224012,0.0,0.0,66.980918,0.097999000086
420,0.0673269594616,0.0671317027338,0.887432749345,0.888435224012,0.0,0.0,68.591487,0.0993050000188
430,0.0673283673185,0.06713365019,0.887432749345,0.888435224012,0.0,0.0,70.215648,0.0966059999992
440,0.0673417245859,0.0671463671615,0.887432749345,0.888435224012,0.0,0.0,71.907112,0.0972230000543
450,0.0666859845458,0.0664868598497,0.887432749345,0.888435224012,0.0,0.0,73.534281,0.102381999997
460,0.0673261402536,0.0671307249949,0.887432749345,0.888435224012,0.0,0.0,75.1985,0.0980019998824
470,0.0673255879322,0.0671302609343,0.887432749345,0.888435224012,0.0,0.0,76.878226,0.098665000025
480,0.0673269158747,0.0671315776964,0.887432749345,0.888435224012,0.0,0.0,78.459231,0.0969619998787
490,0.0673416299876,0.0671452053127,0.887432749345,0.888435224012,0.0,0.0,80.025098,0.0990449999836
500,0.0673424718937,0.0671465647089,0.887432749345,0.888435224012,0.0,0.0,82.07248,0.0978019999866
510,0.0673285776626,0.0671325171837,0.887432749345,0.888435224012,0.0,0.0,83.77122,0.0986829998674
520,0.0673268961569,0.0671319188966,0.887432749345,0.888435224012,0.0,0.0,85.479702,0.0984680000538
530,0.0673268160809,0.0671312204146,0.887432749345,0.888435224012,0.0,0.0,87.104408,0.106330000053
540,0.0673458713222,0.0671499501284,0.887432749345,0.888435224012,0.0,0.0,89.650875,0.0989849999833
550,0.0673275607613,0.067132019374,0.887432749345,0.888435224012,0.0,0.0,91.306057,0.124512000065
