iterations,fitness,time
0,3265.79419716,0.000435999999993
10,3360.33117312,0.000862999999995
20,3537.3376261,0.00129
30,3639.17761123,0.002044
40,3827.80737666,0.002627
50,3806.61758705,0.003713
60,3785.14218313,0.00416000000001
70,3760.84217102,0.00462500000002
80,3843.68206299,0.00508800000001
90,3867.18500493,0.005729
100,3829.28759521,0.006387
110,3897.75251861,0.007031
120,3871.85358261,0.00748399999999
130,3799.39418199,0.008118
140,3834.19156429,0.008629
150,3818.19324608,0.00904199999999
160,3876.31504888,0.00944
170,3870.13404982,0.009845
180,3848.55638599,0.010241
190,3980.85859481,0.010666
200,3951.92133656,0.01111
210,3975.66095778,0.011576
220,3941.19768492,0.012011
230,4004.70379194,0.012434
240,3935.14350529,0.012896
250,3935.14350529,0.013337
260,3937.17921715,0.013748
270,3980.96764734,0.014387
280,4023.69107707,0.01499
290,3930.91726668,0.015596
300,3973.26003728,0.016211
310,4071.62731426,0.016795
320,4028.19228424,0.017723
330,3996.09736937,0.018308
340,4088.63069669,0.018749
350,4056.24078648,0.019174
360,4009.17797317,0.019743
370,4116.70695345,0.020232
380,3918.44131351,0.020672
390,3938.40812126,0.021097
400,3914.27305112,0.021534
410,4055.1425667,0.021952
420,3909.57153722,0.022411
430,3976.569166,0.022871
440,4094.28716808,0.023317
450,3958.75366918,0.023727
460,4002.73142966,0.024158
470,3990.50552146,0.024566
480,3967.27670641,0.024979
490,3984.20994026,0.0255739999999
500,3996.48077869,0.02619
510,4015.91649385,0.0266599999999
520,3972.33672546,0.027318
530,4026.3999943,0.02796
540,3991.86355772,0.02859
550,4044.36338055,0.0291649999999
560,4022.81919702,0.0297879999999
570,3941.85907552,0.0303929999999
580,3975.75392902,0.0310579999999
590,4020.67269545,0.0316359999999
600,4053.53172259,0.032336
610,4004.06998924,0.0329
620,4077.80692562,0.033364
630,4029.72697804,0.033925
640,4112.53250054,0.034364
650,4071.78435914,0.034801
660,4083.46287996,0.035345
670,4066.35555711,0.035939
680,4162.41373563,0.036556
690,4151.57573948,0.037138
700,4186.57551049,0.037592
710,4072.41732636,0.038042
720,4180.48887176,0.038589
730,4189.08989451,0.039056
740,4246.70684648,0.039494
750,4191.66990803,0.040034
760,4209.61520074,0.040603
770,4168.05909232,0.041275
780,4194.83600531,0.041838
790,4165.49043533,0.042394
800,4138.64449864,0.042961
810,4060.56230235,0.04358
820,4154.392181,0.044305
830,4148.92847746,0.045148
840,4172.78204534,0.0458389999999
850,4151.42182691,0.0465
860,4150.86312271,0.047563
870,4128.7451969,0.048195
880,4150.86312271,0.0488649999999
890,4136.51015146,0.049752
900,4136.1652109,0.0504819999999
910,4116.25432259,0.0510599999999
920,4128.40025634,0.0515609999999
930,4096.34974294,0.0520119999999
940,4062.59259861,0.0524579999999
950,3990.87378756,0.0528999999999
960,4038.46857544,0.0533429999999
970,4036.91502768,0.0570779999999
980,4070.9444973,0.0580109999999
990,4026.71172195,0.0586699999999
1000,4089.02768587,0.0591949999999
1010,4044.9620445,0.0597569999999
1020,4056.90959024,0.0602159999999
1030,4001.5392376,0.0607739999999
1040,4079.24753384,0.0614509999999
1050,4030.9722346,0.0623029999999
1060,4058.25473799,0.0628919999999
1070,4113.64696969,0.0635419999999
1080,4128.21716165,0.0641639999999
1090,4086.51730199,0.0648089999999
1100,4085.78031923,0.0652949999999
1110,4098.59680581,0.0660889999999
1120,4108.45958322,0.0669309999999
1130,4124.15786476,0.0673919999999
1140,4089.16550942,0.0682879999999
1150,4117.97444466,0.0689559999999
1160,4096.49676414,0.0694479999999
1170,4092.44513804,0.0698549999999
1180,4109.7999436,0.0702649999999
1190,4086.91459455,0.0706779999999
1200,4099.83821001,0.0710799999999
1210,4066.25256624,0.0714879999999
1220,3943.58439361,0.0719529999999
1230,4088.30433313,0.0723739999999
1240,4015.63500774,0.0728059999999
1250,4086.76087031,0.0734659999999
1260,4078.99755783,0.0739169999999
1270,4078.99755783,0.0771389999999
