iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,f1_trg,f1_tst,train_time,pred_time
0,0.117743894189,0.117723818391,0.887432749345,0.888435224012,0.0,0.0,0.870267,0.207696
10,0.126677723262,0.126682079963,0.112567250655,0.111564775988,0.202355858648,0.200734637149,8.509431,0.132155
20,0.084776866679,0.0846536095904,0.887432749345,0.888435224012,0.0,0.0,17.553862,0.131576
30,0.0895261660162,0.0894252009416,0.887432749345,0.888435224012,0.0,0.0,25.900176,0.104294
40,0.0752877956639,0.0751173301043,0.887432749345,0.888435224012,0.0,0.0,33.967209,0.110648999999
50,0.0753147830564,0.0751329843853,0.887432749345,0.888435224012,0.0,0.0,41.417886,0.105842
60,0.0768940474204,0.0767374844649,0.887432749345,0.888435224012,0.0,0.0,49.43609,0.106678999999
70,0.0818188889693,0.0817117767452,0.887432749345,0.888435224012,0.0,0.0,57.420276,0.112985999999
80,0.0721570819351,0.072002903062,0.887432749345,0.888435224012,0.0,0.0,65.148409,0.105651999999
90,0.0778892647662,0.0777271939203,0.887432749345,0.888435224012,0.0,0.0,73.212287,0.109326000001
100,0.0755327606371,0.0753860214037,0.887432749345,0.888435224012,0.0,0.0,81.318569,0.104244999999
110,0.06973769951,0.0695529098345,0.887432749345,0.888435224012,0.0,0.0,88.609146,0.104825000002
120,0.0711557102787,0.0709684394818,0.887432749345,0.888435224012,0.0,0.0,97.753339,0.149346000001
130,0.058701576038,0.0584421117107,0.887432749345,0.888435224012,0.0,0.0,106.914866,0.109165
140,0.0552611593337,0.0549774392487,0.887432749345,0.888435224012,0.0,0.0,114.870497,0.105797000002
150,0.0579286697629,0.0576751084168,0.887432749345,0.888435224012,0.0,0.0,122.579952,0.154879999999
160,0.0576283252635,0.0573884718355,0.887432749345,0.888435224012,0.0,0.0,133.474321,0.148996
170,0.0576931525003,0.057427673592,0.887432749345,0.888435224012,0.0,0.0,142.197677,0.150807
180,0.0550132606266,0.0547198705695,0.887432749345,0.888435224012,0.0,0.0,152.721449,0.108091999998
190,0.0577953946425,0.0575592915544,0.887432749345,0.888435224012,0.0,0.0,162.17276,0.103233999999
200,0.0576477621968,0.0573783559592,0.887432749345,0.888435224012,0.0,0.0,169.730744,0.111123999998
210,0.0576543651655,0.0573934002629,0.887432749345,0.888435224012,0.0,0.0,177.8895,0.144896000001
220,0.0576598138458,0.057401934399,0.887432749345,0.888435224012,0.0,0.0,185.951192,0.116419
230,0.0576109804654,0.0573601346165,0.887432749345,0.888435224012,0.0,0.0,196.244387,0.119296
240,0.0577919963475,0.0575556741674,0.887432749345,0.888435224012,0.0,0.0,204.873716,0.112948000002
250,0.0576553841009,0.0573901671744,0.887432749345,0.888435224012,0.0,0.0,219.333743,0.151916000004
260,0.0558012171349,0.0555301417084,0.887432749345,0.888435224012,0.0,0.0,226.68178,0.109084999999
270,0.0557822526415,0.0555131990518,0.887432749345,0.888435224012,0.0,0.0,234.094326,0.104299999997
280,0.0558555413565,0.0555777608301,0.887432749345,0.888435224012,0.0,0.0,241.459787,0.106071000002
290,0.0575291988124,0.0572920600002,0.887432749345,0.888435224012,0.0,0.0,249.151283,0.105182999999
300,0.0575809840956,0.0573197243964,0.887432749345,0.888435224012,0.0,0.0,256.456445,0.106284000001
310,0.0557744425488,0.0555110352698,0.887432749345,0.888435224012,0.0,0.0,263.889524,0.105665999999
320,0.0559457492174,0.0556786463751,0.887432749345,0.888435224012,0.0,0.0,271.245866,0.105737999995
330,0.0557745061544,0.0554951236322,0.887432749345,0.888435224012,0.0,0.0,278.519014,0.110856000004
340,0.055775417729,0.0555099448493,0.887432749345,0.888435224012,0.0,0.0,285.96158,0.134207000001
350,0.0557438606041,0.0554737407489,0.887432749345,0.888435224012,0.0,0.0,293.283318,0.104838999997
360,0.0559817187661,0.0557156012288,0.887432749345,0.888435224012,0.0,0.0,301.197686,0.106997
370,0.055575244751,0.0553175203755,0.887432749345,0.888435224012,0.0,0.0,308.464983,0.107204000001
380,0.0557824271408,0.0555115376138,0.887432749345,0.888435224012,0.0,0.0,315.795519,0.105838000004
390,0.0559629939172,0.0557063263549,0.887432749345,0.888435224012,0.0,0.0,323.191957,0.107455000005
400,0.0559352807053,0.0556673893113,0.887432749345,0.888435224012,0.0,0.0,330.607398,0.105129999999
410,0.0559376536242,0.0556733457066,0.887432749345,0.888435224012,0.0,0.0,338.061296,0.103702999997
420,0.0557232905085,0.0554664550029,0.887432749345,0.888435224012,0.0,0.0,345.589596,0.106376000003
430,0.0557237750629,0.0554688660954,0.887432749345,0.888435224012,0.0,0.0,353.025455,0.107255000002
440,0.0558294113114,0.055562388675,0.887432749345,0.888435224012,0.0,0.0,360.364811,0.116160999997
450,0.0557262034796,0.0554634748249,0.887432749345,0.888435224012,0.0,0.0,368.083,0.105809
460,0.0559857163805,0.0557200484069,0.887432749345,0.888435224012,0.0,0.0,375.528586,0.104868000003
470,0.0559404808662,0.0556680167508,0.887432749345,0.888435224012,0.0,0.0,382.778235,0.109497000001
480,0.0559385033855,0.0556641173091,0.887432749345,0.888435224012,0.0,0.0,390.091244,0.104552000002
490,0.0558165925483,0.0555496492985,0.887432749345,0.888435224012,0.0,0.0,398.372991,0.128820999998
500,0.0559653487989,0.0556928600607,0.887432749345,0.888435224012,0.0,0.0,408.504873,0.163752000002
510,0.0557206569472,0.0554445853694,0.887432749345,0.888435224012,0.0,0.0,420.707607,0.211819000004
520,0.0559819483007,0.0557155744686,0.887432749345,0.888435224012,0.0,0.0,428.401161,0.105194000002
530,0.0559493409128,0.0556756076946,0.887432749345,0.888435224012,0.0,0.0,435.914502,0.106304999997
540,0.0559922889215,0.0557219666667,0.887432749345,0.888435224012,0.0,0.0,443.52377,0.111069999994
550,0.055992314443,0.0557224654249,0.887432749345,0.888435224012,0.0,0.0,451.244475,0.125461000003
560,0.0559903725594,0.0557199012843,0.887432749345,0.888435224012,0.0,0.0,458.743691,0.106458999997
570,0.055995012019,0.0557270820382,0.887432749345,0.888435224012,0.0,0.0,466.404513,0.106167999996
580,0.0560041451961,0.0557315295837,0.887432749345,0.888435224012,0.0,0.0,473.847061,0.104997000003
590,0.0559887757374,0.0557189461817,0.887432749345,0.888435224012,0.0,0.0,481.269597,0.105605999998
600,0.0555580109982,0.055281039718,0.887432749345,0.888435224012,0.0,0.0,488.718543,0.104755999997
610,0.055955582211,0.0556832160552,0.887432749345,0.888435224012,0.0,0.0,496.08079,0.105353999998
620,0.0560053416861,0.0557320384395,0.887432749345,0.888435224012,0.0,0.0,503.834767,0.105575000003
630,0.0559739235452,0.055704891915,0.887432749345,0.888435224012,0.0,0.0,511.33807,0.103661999999
640,0.0559955527031,0.055725068321,0.887432749345,0.888435224012,0.0,0.0,518.710154,0.105875000001
650,0.0560130834379,0.0557488845122,0.887432749345,0.888435224012,0.0,0.0,526.061358,0.107626999999
660,0.0559934804574,0.0557180036643,0.887432749345,0.888435224012,0.0,0.0,533.409323,0.10485400001
670,0.0560037304166,0.0557307471893,0.887432749345,0.888435224012,0.0,0.0,540.769704,0.105253
680,0.0559970140561,0.055725893539,0.887432749345,0.888435224012,0.0,0.0,548.164979,0.106617
690,0.0536542704698,0.053360471141,0.887432749345,0.888435224012,0.0,0.0,555.599891,0.104532999998
700,0.0536771207543,0.0533859611692,0.887432749345,0.888435224012,0.0,0.0,563.011602,0.105506000001
710,0.0536638571292,0.0533784808601,0.887432749345,0.888435224012,0.0,0.0,570.447915,0.105786000005
720,0.0536757544796,0.0533677586989,0.887432749345,0.888435224012,0.0,0.0,577.830134,0.105653999999
730,0.053667911183,0.0533763482063,0.887432749345,0.888435224012,0.0,0.0,585.700057,0.136865999987
740,0.0536549045134,0.0533608717986,0.887432749345,0.888435224012,0.0,0.0,593.149433,0.104962999999
