iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,f1_trg,f1_tst,train_time,pred_time
0,0.0952162258885,0.0951055346042,0.887432749345,0.888435224012,0.0,0.0,0.189407,0.0912870000102
10,0.0863521515191,0.0862389473662,0.887432749345,0.888435224012,0.0,0.0,1.860734,0.0926780000016
20,0.0810090181885,0.0808519476058,0.887432749345,0.888435224012,0.0,0.0,3.504691,0.0905450000098
30,0.101750244185,0.101773225501,0.887432749345,0.888435224012,0.0,0.0,5.134841,0.0914600000099
40,0.08120672449,0.0810706012823,0.887432749345,0.888435224012,0.0,0.0,6.834197,0.0914620000087
50,0.0720715698475,0.0719015133621,0.887432749345,0.888435224012,0.0,0.0,8.787029,0.0906999999934
60,0.0719305863735,0.0717094596818,0.887432749345,0.888435224012,0.0,0.0,10.480878,0.0905759999996
70,0.0719040633119,0.0716966938117,0.887432749345,0.888435224012,0.0,0.0,12.111077,0.0911799999881
80,0.0718880246565,0.0716387656105,0.887432749345,0.888435224012,0.0,0.0,13.814001,0.091096999985
90,0.0718185226479,0.0715989754148,0.887432749345,0.888435224012,0.0,0.0,15.467825,0.0924830000092
100,0.0704718047554,0.0702522769595,0.887432749345,0.888435224012,0.0,0.0,17.04753,0.0913920000066
110,0.0719029457009,0.0716901124466,0.887432749345,0.888435224012,0.0,0.0,18.725919,0.0900290000141
120,0.0718411794273,0.0716116659671,0.887432749345,0.888435224012,0.0,0.0,20.325585,0.0925750000049
130,0.0638409873716,0.0635788643099,0.887432749345,0.888435224012,0.0,0.0,21.990632,0.090723999991
140,0.071831904353,0.0716080960688,0.887432749345,0.888435224012,0.0,0.0,23.659145,0.0926669999883
150,0.0638588910995,0.0635836807748,0.887432749345,0.888435224012,0.0,0.0,25.327818,0.0906490000093
160,0.0639545691307,0.0636742027362,0.887432749345,0.888435224012,0.0,0.0,27.012001,0.0910020000167
170,0.0639411185777,0.0636693945961,0.887432749345,0.888435224012,0.0,0.0,28.701999,0.0907460000078
180,0.0638414462549,0.0635615384509,0.887432749345,0.888435224012,0.0,0.0,30.328977,0.0917490000083
190,0.0638693010239,0.0635969330641,0.887432749345,0.888435224012,0.0,0.0,32.032262,0.0942100000143
200,0.0638858538258,0.0636104880904,0.887432749345,0.888435224012,0.0,0.0,33.722017,0.0936759999997
210,0.0639144816479,0.0636321308021,0.887432749345,0.888435224012,0.0,0.0,35.276428,0.0906740000016
220,0.0638858538258,0.0636104880904,0.887432749345,0.888435224012,0.0,0.0,36.863337,0.0907060000166
230,0.0632897739238,0.0630051575475,0.887432749345,0.888435224012,0.0,0.0,38.441222,0.0898819999961
240,0.0678181216676,0.0675794742668,0.887432749345,0.888435224012,0.0,0.0,40.037658,0.0922539999842
250,0.0618699034177,0.0615949879724,0.887432749345,0.888435224012,0.0,0.0,41.733222,0.0940720000046
260,0.0632749054244,0.0630013797838,0.887432749345,0.888435224012,0.0,0.0,43.396424,0.0910829999971
270,0.0632856422853,0.0630051612501,0.887432749345,0.888435224012,0.0,0.0,45.059536,0.0918180000181
280,0.0633209975701,0.0630533406059,0.887432749345,0.888435224012,0.0,0.0,46.740367,0.0916370000077
290,0.0633757221813,0.0630960985903,0.887432749345,0.888435224012,0.0,0.0,48.451349,0.0925790000001
300,0.0633137231367,0.0630305526468,0.887432749345,0.888435224012,0.0,0.0,50.093374,0.091247000011
310,0.0632439183427,0.0629859967092,0.887432749345,0.888435224012,0.0,0.0,51.787618,0.0937809999846
320,0.0633073602852,0.0630304506034,0.887432749345,0.888435224012,0.0,0.0,53.463456,0.0884869999934
330,0.0633983668988,0.0631141390838,0.887432749345,0.888435224012,0.0,0.0,55.070877,0.0936439999994
340,0.0633928854636,0.0631096783205,0.887432749345,0.888435224012,0.0,0.0,56.794888,0.0927319999873
350,0.0611337024901,0.0608458114565,0.887432749345,0.888435224012,0.0,0.0,58.446809,0.092112000003
360,0.063373591943,0.0630922873027,0.887432749345,0.888435224012,0.0,0.0,60.153653,0.0906460000108
370,0.0633845840594,0.0631004119724,0.887432749345,0.888435224012,0.0,0.0,61.756104,0.0924730000124
380,0.0633760939048,0.0631025324299,0.887432749345,0.888435224012,0.0,0.0,63.390553,0.0912420000152
390,0.0633730392249,0.063099938571,0.887432749345,0.888435224012,0.0,0.0,65.015238,0.0915890000065
