iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,f1_trg,f1_tst,train_time,pred_time
0,0.146627467613,0.146756104056,0.112567250655,0.111564775988,0.202355858648,0.200734637149,0.326914,0.105869000023
10,0.0842195464234,0.0840937337595,0.887432749345,0.888435224012,0.0,0.0,3.330065,0.0966390000226
20,0.0847229056172,0.0845997977224,0.887432749345,0.888435224012,0.0,0.0,6.626161,0.102220999955
30,0.0777112908521,0.0775674342637,0.887432749345,0.888435224012,0.0,0.0,9.706751,0.0929009999963
40,0.0768422554609,0.0766759728933,0.887432749345,0.888435224012,0.0,0.0,12.832204,0.0955379999868
50,0.0810340635758,0.0808871021974,0.887432749345,0.888435224012,0.0,0.0,15.761216,0.0961060000127
60,0.0815745210518,0.0814193801944,0.887432749345,0.888435224012,0.0,0.0,19.147576,0.0961150000207
70,0.0817629987166,0.0815964426707,0.887432749345,0.888435224012,0.0,0.0,22.198817,0.10135200002
80,0.0817520729329,0.0815908432135,0.887432749345,0.888435224012,0.0,0.0,25.255615,0.0949199999818
90,0.0817832831265,0.0816269207091,0.887432749345,0.888435224012,0.0,0.0,28.437606,0.104464999984
100,0.081580728127,0.0814439539976,0.887432749345,0.888435224012,0.0,0.0,31.586091,0.0997489999768
110,0.0817967211872,0.0816628079005,0.887432749345,0.888435224012,0.0,0.0,34.735187,0.095177000012
120,0.075689848713,0.0755293582301,0.887432749345,0.888435224012,0.0,0.0,38.39908,0.0939880000278
130,0.0772770193375,0.0771176896845,0.887432749345,0.888435224012,0.0,0.0,41.400917,0.0925629999397
140,0.07725174571,0.0770931668098,0.887432749345,0.888435224012,0.0,0.0,44.307416,0.0941499999876
150,0.0757172385097,0.0755558246639,0.887432749345,0.888435224012,0.0,0.0,47.326777,0.0984220000023
160,0.0772842110556,0.0771230514177,0.887432749345,0.888435224012,0.0,0.0,50.416005,0.0937039999812
170,0.0757149154271,0.0755479225505,0.887432749345,0.888435224012,0.0,0.0,53.45438,0.0957220000123
180,0.0757128623135,0.0755468262089,0.887432749345,0.888435224012,0.0,0.0,56.615719,0.0962459999701
190,0.0772547749272,0.0770944553075,0.887432749345,0.888435224012,0.0,0.0,59.733958,0.0950910000142
