iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,f1_trg,f1_tst,train_time,pred_time
0,0.109165823367,0.109123784067,0.887432749345,0.888435224012,0.0,0.0,0.0237620000003,0.162842999985
10,0.109171616205,0.10912970788,0.887432749345,0.888435224012,0.0,0.0,0.246537999999,0.0958650000111
20,0.109218575241,0.109174239266,0.887432749345,0.888435224012,0.0,0.0,0.474906,0.114700000024
30,0.109219653303,0.10917575409,0.887432749345,0.888435224012,0.0,0.0,0.754666,0.10483600008
40,0.109276932287,0.109234422436,0.887432749345,0.888435224012,0.0,0.0,1.008452,0.0949820000328
50,0.109276596312,0.1092347077,0.887432749345,0.888435224012,0.0,0.0,1.227572,0.101949000054
60,0.110898502687,0.110853790444,0.887432749345,0.888435224012,0.0,0.0,1.449985,0.136052000002
70,0.110955403652,0.110910968837,0.887432749345,0.888435224012,0.0,0.0,1.684573,0.0961830000147
80,0.110768329144,0.11071307908,0.887432749345,0.888435224012,0.0,0.0,1.965617,0.105295000035
90,0.110929256878,0.11087653896,0.887432749345,0.888435224012,0.0,0.0,2.188563,0.0939570000214
100,0.111370831382,0.111301229952,0.887432749345,0.888435224012,0.0,0.0,2.410056,0.0945649999749
110,0.109601323303,0.109543628216,0.887432749345,0.888435224012,0.0,0.0,2.618316,0.096158999952
120,0.109593746051,0.109540596968,0.887432749345,0.888435224012,0.0,0.0,2.842472,0.0946969999286
130,0.109590984752,0.109538079278,0.887432749345,0.888435224012,0.0,0.0,3.062098,0.0993340000573
140,0.109678048059,0.109627468552,0.887432749345,0.888435224012,0.0,0.0,3.286757,0.0950949999742
150,0.109187876976,0.109138619769,0.887432749345,0.888435224012,0.0,0.0,3.49717,0.0940400000468
160,0.109147250736,0.109098300169,0.887432749345,0.888435224012,0.0,0.0,3.716626,0.0926029997968
170,0.108935668138,0.108885753832,0.887432749345,0.888435224012,0.0,0.0,3.934962,0.092628000049
180,0.108936096951,0.108886148862,0.887432749345,0.888435224012,0.0,0.0,4.162201,0.0960420000179
190,0.108935780277,0.108884998346,0.887432749345,0.888435224012,0.0,0.0,4.377986,0.0955189999841
200,0.108928363258,0.108877224374,0.887432749345,0.888435224012,0.0,0.0,4.609344,0.0933999999652
210,0.108927357909,0.108874806595,0.887432749345,0.888435224012,0.0,0.0,4.83174,0.0982519999998
220,0.108924142454,0.108872987886,0.887432749345,0.888435224012,0.0,0.0,5.132059,0.100736999992
230,0.108922717776,0.108872189294,0.887432749345,0.888435224012,0.0,0.0,5.36148,0.0939189998471
240,0.0771579272605,0.0769989734993,0.887432749345,0.888435224012,0.0,0.0,5.579395,0.104174999969
250,0.0771538145995,0.0769956300215,0.887432749345,0.888435224012,0.0,0.0,5.911485,0.103426999994
260,0.0771527049192,0.076994476535,0.887432749345,0.888435224012,0.0,0.0,6.138766,0.121051000031
270,0.0771089961964,0.07695148077,0.887432749345,0.888435224012,0.0,0.0,6.414638,0.100308000047
280,0.0747325745572,0.0745652180109,0.887432749345,0.888435224012,0.0,0.0,6.630691,0.103838999954
290,0.0745943937554,0.0744303165387,0.887432749345,0.888435224012,0.0,0.0,6.880438,0.0917789998125
300,0.0745695295449,0.0744085965134,0.887432749345,0.888435224012,0.0,0.0,7.112344,0.092903999961
310,0.0713462499898,0.0711803260288,0.887432749345,0.888435224012,0.0,0.0,7.363773,0.0974959999771
320,0.0696399394811,0.0694638411343,0.887432749345,0.888435224012,0.0,0.0,7.684668,0.106758999984
330,0.0696233758163,0.0694450238294,0.887432749345,0.888435224012,0.0,0.0,7.900604,0.0941039999152
340,0.0695664955848,0.0693916421162,0.887432749345,0.888435224012,0.0,0.0,8.148636,0.0931430000232
350,0.0695030869828,0.0693380020585,0.887432749345,0.888435224012,0.0,0.0,8.369436,0.0956070000525
360,0.0680519639161,0.0678682906776,0.887432749345,0.888435224012,0.0,0.0,8.637682,0.102353999967
370,0.0678306805105,0.0676518867384,0.887432749345,0.888435224012,0.0,0.0,8.849858,0.0934509999665
380,0.067797711357,0.0676271706418,0.887432749345,0.888435224012,0.0,0.0,9.108088,0.10329799986
390,0.0677875464716,0.0676195284062,0.887432749345,0.888435224012,0.0,0.0,9.349745,0.0911279999809
400,0.067780976494,0.067614149318,0.887432749345,0.888435224012,0.0,0.0,9.57154,0.0924530000138
410,0.0669009963199,0.0667290760486,0.887432749345,0.888435224012,0.0,0.0,9.786926,0.0946499999982
420,0.0668106274437,0.0666358984478,0.887432749345,0.888435224012,0.0,0.0,10.04525,0.0909579999811
430,0.0657702151894,0.0655702083913,0.887432749345,0.888435224012,0.0,0.0,10.264845,0.0934700001367
440,0.0566915799714,0.0564649047655,0.887432749345,0.888435224012,0.0,0.0,10.481721,0.0946469998476
450,0.0566696095042,0.056444239973,0.887432749345,0.888435224012,0.0,0.0,10.736383,0.0912510000803
460,0.0562870287322,0.0560605642687,0.887432749345,0.888435224012,0.0,0.0,10.953965,0.0939490000019
470,0.056264484873,0.0560328900666,0.887432749345,0.888435224012,0.0,0.0,11.163175,0.0956019999635
480,0.0562456743085,0.0560065729072,0.887432749345,0.888435224012,0.0,0.0,11.419246,0.113591000028
490,0.0553943779223,0.0551667610547,0.887432749345,0.888435224012,0.0,0.0,11.628293,0.0929149998537
500,0.055391008647,0.0551640584571,0.887432749345,0.888435224012,0.0,0.0,11.851216,0.0911339999539
