iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,f1_trg,f1_tst,train_time,pred_time
0,0.120456464504,0.12044920909,0.887432749345,0.888435224012,0.0,0.0,0.680708,0.105123999928
10,0.0963551028148,0.0962734789804,0.887432749345,0.888435224012,0.0,0.0,5.030758,0.116888999862
20,0.0869951215316,0.0868795871035,0.887432749345,0.888435224012,0.0,0.0,8.673408,0.0942329999407
30,0.079795732944,0.0796472726493,0.887432749345,0.888435224012,0.0,0.0,12.194396,0.127566000014
40,0.0791827874899,0.0789931066701,0.887432749345,0.888435224012,0.0,0.0,16.251825,0.0939889999509
50,0.0859281602242,0.0857860110312,0.887432749345,0.888435224012,0.0,0.0,19.796848,0.0942319999622
60,0.0877831072494,0.0876677785726,0.887432749345,0.888435224012,0.0,0.0,23.274717,0.106587999971
70,0.078093541362,0.0779421866702,0.887432749345,0.888435224012,0.0,0.0,26.913655,0.0967900001242
80,0.0896687943511,0.0895682227597,0.887432749345,0.888435224012,0.0,0.0,30.469237,0.0947470000447
90,0.0879076766297,0.0877918595134,0.887432749345,0.888435224012,0.0,0.0,34.067977,0.100974999903
100,0.07841144434,0.0782644049505,0.887432749345,0.888435224012,0.0,0.0,37.80566,0.0941609999672
110,0.0783721691518,0.0782265984816,0.887432749345,0.888435224012,0.0,0.0,41.862123,0.118546000069
120,0.078389133348,0.0782475226932,0.887432749345,0.888435224012,0.0,0.0,45.520716,0.0947199999546
130,0.0796239677345,0.0794760352461,0.887432749345,0.888435224012,0.0,0.0,49.11583,0.0920469998919
140,0.0780417087542,0.0778895517404,0.887432749345,0.888435224012,0.0,0.0,52.782055,0.0938560000741
150,0.0792313770557,0.0790860970813,0.887432749345,0.888435224012,0.0,0.0,57.016318,0.0998780000473
160,0.0781263584116,0.0779756106666,0.887432749345,0.888435224012,0.0,0.0,61.207535,0.110012000029
170,0.0784200358883,0.0782699512281,0.887432749345,0.888435224012,0.0,0.0,66.201117,0.118145000083
180,0.0784151099893,0.0782671301253,0.887432749345,0.888435224012,0.0,0.0,69.99112,0.0997250000173
190,0.0780768064589,0.077926471962,0.887432749345,0.888435224012,0.0,0.0,73.733977,0.0954680000732
200,0.0634233552153,0.0631996906989,0.887432749345,0.888435224012,0.0,0.0,77.388365,0.0961120000748
210,0.0784229130164,0.0782739713052,0.887432749345,0.888435224012,0.0,0.0,81.020664,0.0983729999925
220,0.0784238281547,0.0782747830937,0.887432749345,0.888435224012,0.0,0.0,84.832763,0.0963580000507
230,0.0784229130164,0.0782739713052,0.887432749345,0.888435224012,0.0,0.0,88.515791,0.108869000007
240,0.0784246204836,0.0782754262098,0.887432749345,0.888435224012,0.0,0.0,92.415946,0.0943189999552
250,0.0747138060889,0.0745469826832,0.887432749345,0.888435224012,0.0,0.0,95.993757,0.09383600005
260,0.0784271005672,0.0782759921934,0.887432749345,0.888435224012,0.0,0.0,99.94596,0.0970719999787
270,0.0721114291486,0.071928972841,0.887432749345,0.888435224012,0.0,0.0,103.60665,0.098931000035
280,0.0747214054214,0.0745541375014,0.887432749345,0.888435224012,0.0,0.0,107.518846,0.0985840000485
